,company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP,Cross Match
22,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1226,LOCX,1226,18846.0,SW9m,Dec-53,2016.0,,Reporting Match
23,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 150,LOCX,150,10243.0,SW7,Dec-50,,1200.0,Reporting Match
24,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],,,,12302.0,NW2,-49,,1000.0,Not Matched
25,Grain Craft,,(formerly Milner Milling),,,,"700 Milner Rd., 35214   (off Sandusky Rd.)",(205) 798-2360,,,,25399.0,SD24d,Jul-59,,,Not Matched
26,SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],,,,31449.0,GE 80ton,-53,,,Not Matched
27,SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],,,,38933.0,GE 80ton,May-73,,,Not Matched
28,Container Corp. of America,,,,Brewton,,US 31                  , [(251) 867-6231],,,,81166.0,NW2,Sep-46,,1000.0,Not Matched
29,Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],,,,31814.0,GE 65ton,Jan-53,,,Not Matched
30,Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],,,,,GE 65ton,,,,Not Matched
31,T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],2nd,,,33023.0,GE 45ton,Oct-58,,,Not Matched
32,T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],,,,15739.0,GE 65ton,Dec-42,,,Not Matched
33,SABIC Innovative Plastics US LLC,,(formerly GE Plastics),,Burkeville,,"1 Plastics Ave.  (off SR 37, ~ 10 M SW of Montgomery)",,Corman 1356,Corman,1356,16384.0,GP7,-52,,1500.0,Not Matched
34,Argos USA LLC,,,cement plant,Calera,,8039 SR 25 W,  (800) 331-0022,,,,,"GP35m Ex Omaha, Lincoln & Beatrice #47",,2023.0,,Not Matched
35,Conrad Yelvington Distributors,,,quarry,,,,,,,,,SD60I,May-95,2019.0,3800.0,Not Matched
36,Conrad Yelvington Distributors,,,quarry,,,,,,,,,SD60M,Dec-92,2019.0,3800.0,Not Matched
37,"O'Neil Transportation Services, Inc.",,"(formerly Transportation Services, Inc. )",,,,"1480 Woodbine Ave., 35040                  ", [(205) 668-0058],TRSX,,,32520.0,GE 80ton,Mar-56,,,Not Matched
38,Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],FURX 5501,FURX,5501,35628.0,GP38,Oct-71,,2000.0,Not Matched
39,Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],FURX 5507,FURX,5507,,GP38-2,Oct-71,,2000.0,Not Matched
40,Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,RLIX 2010,RLIX,2010,37376.0,GP38,Apr-71,,2000.0,Reporting Match
41,Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,RLIX 2025,RLIX,2025,33688.0,GP38,Nov-67,,2000.0,Not Matched
42,PowerSouth Energy - Plant Lowman,,(formerly Alabama Electric Co-Operative),electric generation,Carson  (Jackson) ,,Carson Rd.  (CR 34)     (opposite side of Tombigee River from Jackson)   ,,,,,30993.0,GE 80ton,Jun-51,1977.0,,Not Matched
43,Cherokee Nitrogen,(subs. LSB Ind.),,,Cherokee / (Vertagreen Station),,"1080 Industrial Dr., 35616  (~4 m. NE of ...)  ",(256) 359-7000,PRLX 2202,PRLX,2202,37065.0,SW1500,Feb-71,2019.0,1500.0,Reporting Match
44,Coastal Mobile Refining Corp. ,,(formerly Belcher Refining),,Chickasaw,,"200 Viaduct Road, 36611                              ", [(251) 456-8491],,,,20119.0,SW1200,Jan-55,,1200.0,Not Matched
45,Alabama Power Co.  -  Joseph Farley Nuclear Plt.,(subs. Southern Co.),,,Columbia,,,,,,,28461.0,GE 45ton,May-46,1982.0,,Not Matched
46,Resolute Forest Products,,"(formerly AbitibiBowater, previously Bowater, previously Alliance Forest Prod., originally Coosa River Newsprint)",,Coosa Pines,,"17589 Plant Rd., 35044  (~3 M N of Childersburg)",(256) 378-5541,Corman 3851,Corman,3851,72704.0,GP38-2,Sep-72,2019.0,2000.0,Not Matched
47,"AlphaPet, Inc.",(subs. Indorama),,(petro chemicals),,,"Finley Island Road, 35601  ",,CLCX 2112,CLCX,2112,,S4,,2017.0,,Not Matched
48,Gavilon Grain,,,,,,"1030 State Docks Rd NW, 35601",(256) 686-7030,,,,20105.0,GP9,Jan-55,2012.0,1750.0,Not Matched
49,Nucor Steel Decatur,,,cold rolling mill,,,"3401 Process  Road, 35601      (W. of...)            ", [(256) 584-7500],,,,,SW1000,,,1000.0,Not Matched
50,Schnitzer Southeast,,,,,,2101 Columbia Hwy.. 36303,(334) 671-3680,,,,31682.0,GE 25ton,Sep-52,,,Not Matched
51,"Tube City, Inc. / TMS",,,scrap yard,Fairfield,,"123 Scrap Yard Road, 35064             ",[(205) 781-3629],JRWX 137,JRWX,137,75662.0,S2,Mar-48,,,Reporting Match
52,Imerys Pigments Inc.      ,,(formerly ECCI American Calcium Products),,Gantts Quarry  (Sylacauga),,"2412 Hill Road, 35151         ",  [(256) 249-4901],,,,39166.0,GE 1105on,,2002.0,,Not Matched
53,Kodiak Mining,(subs. Attila Resources,,coal mine,Gurnee Jct.,,(@ ~8500 CR 270),,,,,29856.0,SD35d,Mar-65,,,Not Matched
54,Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],,,,23539.0,SW900m,Aug-57,,,Not Matched
55,Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],,,,79052.0,RS1,Jul-51,,,Not Matched
56,Tyson Foods,,(formerly Tyson RR),(poultry feed mill)  ,Ivalee   (Attalla),,"Walnut Grove Hwy.                (Rt 1/Box 322, 35954)                               [(256) 538-0866]",,,,,25895.0,SW900,Jun-60,,900.0,Not Matched
57,Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,CLCX 6120,CLCX,6120,,GP9 Formerly Florida Rock,,,,Not Matched
58,Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,CLCX 6121,CLCX,6121,,GP9 Formerly Florida Rock,,,,Not Matched
59,Olin Corp. - Chlor Alkali Products Div. â€“ McIntosh Plant,,,,,,"1638 Industrial Road          (P.O. Box  28, 36553)        ",     [(251) 944-2231],WAMX 4003,WAMX,4003,,GP40-2LW,Mar-74,2018.0,3000.0,Not Matched
60,Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,RS 105,RS,105,14740.0,GP7,,1997.0,1500.0,Not Matched
61,Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,RS 1812,RS,1812,13372.0,GP7,Jan-51,,1500.0,Not Matched
62,Heckett Multi Serve,,,,(near Birmingham),,,,,,,,SW7,-50,2004.0,1200.0,Not Matched
63,Alabama Railcar Services,,(formerly  Frit Car),  (railcar repair)      ,Ozark,,"Jodie Parker Rd., 36360     (off Marley Mill Road) ",  [(334) 774-2621],,,,35667.0,GE 25ton,Feb-66,,,Not Matched
64,Pilgrim's Pride,,,feed mill,Pinckard,,"1042 Forest Dr., 36350    (1 Mi. NNW of...)",(334) 984-2213,,,,,S2,,,,Not Matched
65,Alabama Power - Plant Miller  (a.k.a James H Miller Generating Plant),(subs. Southern Co.),,coal-fired electric generating,Porter  (West Jefferson),,"      (off CR 45 / Porter Rd., Quinton, 35130)",,,,,20775.0,GP9,Jan-56,,1750.0,Not Matched
66,Argos Cement,,(formerly Lafarge),,Roberta,,,,,,,22737.0,GP9,Aug-57,,1750.0,Not Matched
67,International Paper  -  Riverdale Mill ,,,,,,"601 County Road 78, 36703                         ", [(334) 872-3481],,,,29206.0,GE 45ton,Dec-47,,,Not Matched
68,Mead Corp,,,,Stevenson,,"115 Kentucky Ave., 35772  ",  [(205) 437-2204],,,,18008.0,GE 65ton,Sep-43,,,Not Matched
69,Westrock,,(formerly Stone Smurfit),,,,"115 Kentucky Ave., 35772   ", [(205) 437-2204],,,,18008.0,GE 65ton,Sep-43,,,Not Matched
70,Precision Strip,,,strip metal,Talladega,,"36000 SR 21, 35160",(256) 315-2345,,,,44347.0,GE 110ton,Jun-84,,,Not Matched
71,TSDI,,,auto intermodal yard,,,,,IRTX 5990,IRTX,5990,,SD40-2,Feb-81,2020.0,3000.0,Not Matched
72,TSDI,,,auto intermodal yard,,,,,IRTX 6015,IRTX,6015,,SD40-2,Mar-81,2020.0,3000.0,Not Matched
73,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,,Not Matched
74,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,,Not Matched
75,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,,Not Matched
76,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,21854.0,SW900,Aug-56,,900.0,Not Matched
77,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,37387.0,SW1001,Jul-71,,1000.0,Not Matched
78,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,33137.0,SW1500,Aug-67,,1500.0,Not Matched
79,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 146,LLX,146,32313.0,SW1000,Oct-66,1997.0,1000.0,Reporting Match
80,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 147,LLX,147,33915.0,SW1000,Apr-68,1996.0,1000.0,Reporting Match
81,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),,,,,SW1000 Ex Trico Steel,,,,Not Matched
82,Nucor Steel Tuscaloosa,,(formerly Corus Tuscaloosa),,,,"1700 Holt Rd NE, 35404",,LTEX 1083,LTEX,1083,,SW1001,,2021.0,1000.0,Not Matched
83,Tube City IMS,,,steel mill services,Tuscaloosa  (Holt),,"2100 Jack Warner Pkwy. NE, 35404  (adjacent to Nucor)    ", (205) 553-4001,LTEX 1082,LTEX,1082,37535.0,SW1000,Jul-71,2021.0,1000.0,Not Matched
84,SGL Carbon Corp.,,(formerly Great Lakes Carbon),,Altus (Ozark),Ar.,"3931 Carbon Plant Rd., 72949    (~6 m S/E of Ozark)   ", [(479) 468-4401],,,,,Plymouth 18ton JDT,Dec-56,,,Not Matched
85,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,20329.0,SW1200,Mar-55,1992.0,1200.0,Not Matched
86,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,21178.0,SW1200,-56,,1200.0,Not Matched
87,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,21179.0,SW1200,-56,,1200.0,Not Matched
88,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],,,,15636.0,SW9,Jan-52,,1200.0,Not Matched
89,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],WAMX 1590,WAMX,1590,,MP15,May-76,2016.0,,Not Matched
90,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],GMTX 118,GMTX,118,,SW1500,-72,,1500.0,Not Matched
91,Pilgrim's Pride  ,, (formerly ConAgra),,Atkins,,,,CLC 99107,CLC,99107,99107.0,S2,Oct-49,,,Not Matched
92,"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,,,,177.0,Porter 65ton,Aug-44,,,Serial Match
93,"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,,,,16405.0,GP7,Apr-52,,1500.0,Not Matched
94,"Transitech, Inc.",,(formerly Transitank Car Corp.),,Fordyce,,622 W. 6th St.  71742 , [(870) 352-7125],,,,29885.0,GE 25ton,Feb-49,2014.0,,Not Matched
95,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,27510.0,GE 45ton,Jun-44,,,Not Matched
96,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,,NW2,Feb-48,,1000.0,Not Matched
97,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,81427.0,S6,Dec-55,1996.0,,Not Matched
98,Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,,,,35254.0,GP38,,,2000.0,Not Matched
99,Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,,,,37550.0,SD40,Mar-71,,3000.0,Not Matched
100,Quincy Soybean Co. of Arkansas / ADM  ,,,,Helena,,"Hanks Lane  SR 20 S., Helena Crossing, 72342      ",  [(501)  338-6481],,,,,Plymouth 60ton CR-4,May-65,,,Not Matched
101,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,22485.0,SW1200,May-57,1992.0,1200.0,Not Matched
102,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,24034.0,SW1200,Jan-58,1992.0,1200.0,Not Matched
103,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,21176.0,SW1200,-56,,1200.0,Not Matched
104,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,24028.0,SW1200,Dec-57,,1200.0,Not Matched
105,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,25731.0,SW1200,Feb-60,1994.0,1200.0,Not Matched
106,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,,Plymouth 25ton JDT,Nov-57,,,Not Matched
107,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,29933.0,GE 45ton,-49,,,Not Matched
108,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,30749.0,GE 45ton,Sep-50,,,Not Matched
109,Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,,,,42787.0,B23-7,-80,2000.0,2250.0,Not Matched
110,Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,,,,21320.0,GP9,Feb-56,,1750.0,Not Matched
111,Riceland Foods,,,,Jonesboro,,"216 N Gee St., 72401     ", [(870) 932-7433],,,,29232.0,GE 25ton,Jan-48,,,Not Matched
112,Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,,,,20550.0,SW1200,-55,,1200.0,Not Matched
113,Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,,,,22601.0,GP9,-56,2021.0,1750.0,Not Matched
114,3-M  -  Industrial Mineral Products Div.  - Arch Street Plant,,(formerly Big Rock Stone & Materials),,,,6100 Arch St. (Ar 367),,,,,29787.0,SW1200,Feb-65,1985.0,1200.0,Not Matched
115,Southern Company Rail Services /now? Rail Connections,"O'Neil Transportation Services, Inc.",,(railcar repair),,,,,,,,13920.0,GP7,-51,,1500.0,Not Matched
116,Green Bay Packaging ,,(formerly Arkansas Kraft Paper),,Perryville,,,,RE 1056,RE,1056,81973.0,S2,Jul-56,,,Not Matched
117,Pactiv Evergreen,(subs CHH),(formerly Evergreen Packaging),paper mill,Pine Bluff,,"5201 Fairfield Rd., 71601     (e.of ...)          ", [(870) 541-5787],PREX 7002,PREX,7002,,GP9,May-56,2019.0,1750.0,Not Matched
118,Twin Rivers Paper Co.,,(formerly Mondi Packaging),kraft paper,,,"1701 Jefferson Parkway, 71601", [(501) 541-5000],,,,16184.0,SW8,Feb-53,1994.0,800.0,Not Matched
119,Lone Star Railcar Storage,,,railcar storage,Pine Bluff Arsenal / White Hall,,,,JTPX 1703,JTPX,1703,,"GP9 Formerly at Hooks, Tx., ex PT Rail Serv. 91",,,,Not Matched
120,TexAmericas Center,,(formerly Lone Star Railcar Storage),railcar storage,,,,,JTPX 1703,JTPX,1703,,GP9 Ex Lone Star Railcar Storage #1703,,,,Not Matched
121,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,14326.0,SW9,Apr-51,1984.0,1200.0,Not Matched
122,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,33283.0,SW1500,Oct-67,1992.0,1500.0,Not Matched
123,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,33130.0,SW1500,-67,,1500.0,Not Matched
124,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,20801.0,GP9,Jan-56,,1750.0,Not Matched
125,Union Tank Car,,(formerly GE Capital Railcar Service Corp. ),railcar repair,Texarkana,,"2006 N. Oats St., 75502      (N. Oats & Nash-Thompson Ln.)", [(501) 773-5641],RSSX 1052,RSSX,1052,20161.0,GP9,Feb-55,,1750.0,Reporting Match
126,Tyson Foods,,,,Waldron ,,"Fir St., 72958     ",   [(501) 637-2121],,,,32701.0,GE 45ton,Sep-56,,,Not Matched
127,Liberty Iron & Metal Southwest,,,,Phoenix,AZ,"2144 W. McDowell Rd., 85009",(602) 254-2154,,,,,"GE 25ton Formerly at Erie, Pa., ex Erie Forge",,,,Not Matched
128,Rose Acre Farms,,,feed mill,Bouse,Az.,"48993 SR 72, 85325",(928) 851-4225,,,,75629.0,MP15,-76,2017.0,,Not Matched
129,"Arizona Grain, Inc.   ", (subs. Kort Investments),,,Casa Grande,,"601 E. Main, 85222     ", [(602) 836-8228],,,,28470.0,GE65ton,Apr-46,,,Not Matched
130,Salt River Materials Group / Phoenix Cement Co.       ,,(formerly American Cement),(cement plant)   ,Clarkdale,,"601 Cement Plant Rd., 86324       ", [(602) 634-2261],,,,32210.0,GE 35ton,Jul-54,,,Not Matched
131,InterRail Transport,,,(auto intermodal),El Mirage,,,,IRTX 923,IRTX,923,12101.0,GP7,Nov-50,2014.0,1500.0,Not Matched
132,InterRail Transport,,,(auto intermodal),El Mirage,,,,IRTX 8067,IRTX,8067,22328.0,GP9,Jan-57,2016.0,1750.0,Not Matched
133,InterRail Transport,,,(auto intermodal),El Mirage,,,,,,,18556.0,GP7,-53,,1500.0,Not Matched
134,Nestle Purina Mills,,(formerly Ralston Purina),(food processing),Flagstaff,,4700 E. Nestle Purina Ave.  86004       ,  (928) 526-3645,,,,,Plymouth 35ton MDT,Aug-74,,,Not Matched
135,ASARCO ,,,copper mine & smelter,Hayden,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,33105.0,GE 35ton,Sep-57,,,Not Matched
136,ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,31336.0,GE 80ton,Apr-52,1993.0,,Not Matched
137,ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,36323.0,GE 100ton,Sep-67,,,Not Matched
138,Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,,MP15,Jun-77,,,Not Matched
139,Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,17805.0,SW9m,Apr-53,,,Not Matched
140,Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,37891.0,GP38,Dec-71,,2000.0,Not Matched
141,Cyprus Amax Minerals Co.    ,,(formerly Inspiration Consolidated Copper Co.),(copper mine & smelter)    ,Miami,,,,,,,,NW2,-46,,1000.0,Not Matched
142,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,32290.0,GP38,Oct-66,,2000.0,Not Matched
143,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,32291.0,GP38,Oct-66,,2000.0,Not Matched
