company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP
Alabama Power - Plant Miller  (a.k.a James H Miller Generating Plant),(subs. Southern Co.),,coal-fired electric generating,Porter  (West Jefferson),,"      (off CR 45 / Porter Rd., Quinton, 35130)",,,,,20775,GP9,Jan-56,,1750
Argos Cement,,(formerly Lafarge),,Roberta,,,,,,,22737,GP9,Aug-57,,1750
International Paper  -  Riverdale Mill ,,,,,,"601 County Road 78, 36703                         ", [(334) 872-3481],,,,29206,GE 45ton,Dec-47,,
Mead Corp,,,,Stevenson,,"115 Kentucky Ave., 35772  ",  [(205) 437-2204],,,,18008,GE 65ton,Sep-43,,
Westrock,,(formerly Stone Smurfit),,,,"115 Kentucky Ave., 35772   ", [(205) 437-2204],,,,18008,GE 65ton,Sep-43,,
Precision Strip,,,strip metal,Talladega,,"36000 SR 21, 35160",(256) 315-2345,,,,44347,GE 110ton,Jun-84,,
TSDI,,,auto intermodal yard,,,,,IRTX 5990,IRTX,5990,,SD40-2,Feb-81,2020,3000
TSDI,,,auto intermodal yard,,,,,IRTX 6015,IRTX,6015,,SD40-2,Mar-81,2020,3000
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,,Atlas 20ton,,,
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,21854,SW900,Aug-56,,900
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,37387,SW1001,Jul-71,,1000
ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,,,33137,SW1500,Aug-67,,1500
Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 146,LLX,146,32313,SW1000,Oct-66,1997,1000
Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 147,LLX,147,33915,SW1000,Apr-68,1996,1000
Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),,,,,SW1000 Ex Trico Steel,,,
Nucor Steel Tuscaloosa,,(formerly Corus Tuscaloosa),,,,"1700 Holt Rd NE, 35404",,LTEX 1083,LTEX,1083,,SW1001,,2021,1000
Tube City IMS,,,steel mill services,Tuscaloosa  (Holt),,"2100 Jack Warner Pkwy. NE, 35404  (adjacent to Nucor)    ", (205) 553-4001,LTEX 1082,LTEX,1082,37535,SW1000,Jul-71,2021,1000
SGL Carbon Corp.,,(formerly Great Lakes Carbon),,Altus (Ozark),Ar.,"3931 Carbon Plant Rd., 72949    (~6 m S/E of Ozark)   ", [(479) 468-4401],,,,,Plymouth 18ton JDT,Dec-56,,
Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,20329,SW1200,Mar-55,1992,1200
Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,21178,SW1200,-56,,1200
Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],,,,21179,SW1200,-56,,1200
"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],,,,15636,SW9,Jan-52,,1200
"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],WAMX 1590,WAMX,1590,,MP15,May-76,2016,
"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],GMTX 118,GMTX,118,,SW1500,-72,,1500
Pilgrim's Pride  ,, (formerly ConAgra),,Atkins,,,,CLC 99107,CLC,99107,99107,S2,Oct-49,,
"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,,,,177,Porter 65ton,Aug-44,,
"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,,,,16405,GP7,Apr-52,,1500
"Transitech, Inc.",,(formerly Transitank Car Corp.),,Fordyce,,622 W. 6th St.  71742 , [(870) 352-7125],,,,29885,GE 25ton,Feb-49,2014,
Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,27510,GE 45ton,Jun-44,,
Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,,NW2,Feb-48,,1000
Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,,,81427,S6,Dec-55,1996,
Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,,,,35254,GP38,,,2000
Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,,,,37550,SD40,Mar-71,,3000
Quincy Soybean Co. of Arkansas / ADM  ,,,,Helena,,"Hanks Lane  SR 20 S., Helena Crossing, 72342      ",  [(501)  338-6481],,,,,Plymouth 60ton CR-4,May-65,,
Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,22485,SW1200,May-57,1992,1200
Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,24034,SW1200,Jan-58,1992,1200
Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,21176,SW1200,-56,,1200
Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,24028,SW1200,Dec-57,,1200
Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},,,,25731,SW1200,Feb-60,1994,1200
AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,,Plymouth 25ton JDT,Nov-57,,
AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,29933,GE 45ton,-49,,
AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,,,30749,GE 45ton,Sep-50,,
Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,,,,42787,B23-7,-80,2000,2250
Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,,,,21320,GP9,Feb-56,,1750
Riceland Foods,,,,Jonesboro,,"216 N Gee St., 72401     ", [(870) 932-7433],,,,29232,GE 25ton,Jan-48,,
Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,,,,20550,SW1200,-55,,1200
Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,,,,22601,GP9,-56,2021,1750
3-M  -  Industrial Mineral Products Div.  - Arch Street Plant,,(formerly Big Rock Stone & Materials),,,,6100 Arch St. (Ar 367),,,,,29787,SW1200,Feb-65,1985,1200
Southern Company Rail Services /now? Rail Connections,"O'Neil Transportation Services, Inc.",,(railcar repair),,,,,,,,13920,GP7,-51,,1500
Green Bay Packaging ,,(formerly Arkansas Kraft Paper),,Perryville,,,,RE 1056,RE,1056,81973,S2,Jul-56,,
Pactiv Evergreen,(subs CHH),(formerly Evergreen Packaging),paper mill,Pine Bluff,,"5201 Fairfield Rd., 71601     (e.of ...)          ", [(870) 541-5787],PREX 7002,PREX,7002,,GP9,May-56,2019,1750
Twin Rivers Paper Co.,,(formerly Mondi Packaging),kraft paper,,,"1701 Jefferson Parkway, 71601", [(501) 541-5000],,,,16184,SW8,Feb-53,1994,800
Lone Star Railcar Storage,,,railcar storage,Pine Bluff Arsenal / White Hall,,,,JTPX 1703,JTPX,1703,,"GP9 Formerly at Hooks, Tx., ex PT Rail Serv. 91",,,
TexAmericas Center,,(formerly Lone Star Railcar Storage),railcar storage,,,,,JTPX 1703,JTPX,1703,,GP9 Ex Lone Star Railcar Storage #1703,,,
Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,14326,SW9,Apr-51,1984,1200
Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,33283,SW1500,Oct-67,1992,1500
Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,33130,SW1500,-67,,1500
Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],,,,20801,GP9,Jan-56,,1750
Union Tank Car,,(formerly GE Capital Railcar Service Corp. ),railcar repair,Texarkana,,"2006 N. Oats St., 75502      (N. Oats & Nash-Thompson Ln.)", [(501) 773-5641],RSSX 1052,RSSX,1052,20161,GP9,Feb-55,,1750
Tyson Foods,,,,Waldron ,,"Fir St., 72958     ",   [(501) 637-2121],,,,32701,GE 45ton,Sep-56,,
Liberty Iron & Metal Southwest,,,,Phoenix,AZ,"2144 W. McDowell Rd., 85009",(602) 254-2154,,,,,"GE 25ton Formerly at Erie, Pa., ex Erie Forge",,,
Rose Acre Farms,,,feed mill,Bouse,Az.,"48993 SR 72, 85325",(928) 851-4225,,,,75629,MP15,-76,2017,
"Arizona Grain, Inc.   ", (subs. Kort Investments),,,Casa Grande,,"601 E. Main, 85222     ", [(602) 836-8228],,,,28470,GE65ton,Apr-46,,
Salt River Materials Group / Phoenix Cement Co.       ,,(formerly American Cement),(cement plant)   ,Clarkdale,,"601 Cement Plant Rd., 86324       ", [(602) 634-2261],,,,32210,GE 35ton,Jul-54,,
InterRail Transport,,,(auto intermodal),El Mirage,,,,IRTX 923,IRTX,923,12101,GP7,Nov-50,2014,1500
InterRail Transport,,,(auto intermodal),El Mirage,,,,IRTX 8067,IRTX,8067,22328,GP9,Jan-57,2016,1750
InterRail Transport,,,(auto intermodal),El Mirage,,,,,,,18556,GP7,-53,,1500
Nestle Purina Mills,,(formerly Ralston Purina),(food processing),Flagstaff,,4700 E. Nestle Purina Ave.  86004       ,  (928) 526-3645,,,,,Plymouth 35ton MDT,Aug-74,,
ASARCO ,,,copper mine & smelter,Hayden,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,33105,GE 35ton,Sep-57,,
ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,31336,GE 80ton,Apr-52,1993,
ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],,,,36323,GE 100ton,Sep-67,,
Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,,MP15,Jun-77,,
Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,17805,SW9m,Apr-53,,
Arizona Public Service  â€“  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,,,37891,GP38,Dec-71,,2000
Cyprus Amax Minerals Co.    ,,(formerly Inspiration Consolidated Copper Co.),(copper mine & smelter)    ,Miami,,,,,,,,NW2,-46,,1000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,32290,GP38,Oct-66,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,32291,GP38,Oct-66,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,33072,GP38,Apr-67,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,33073,GP38,Apr-67,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,33074,GP38,Apr-67,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,33075,GP38,Apr-67,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,37375,GP38,Apr-71,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,,GP38-2,Mar-76,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,,GP38-2,Mar-76,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,,GP38-2,Mar-76,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,,GP38-2,Mar-82,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,32886,GP38,Feb-67,,2000
Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,,,,"""GP39-3""",Aug-81,,
"Freeport-McMoRan, Inc. - Sierrita Operations",,(formerly Cyprus Sierrita Corp.),,Sahuarita (Green Valley),,"6200 W. Duval Mine Rd., 85622      ", [(520) 648-8500],,,,,GP50,Sep-80,,3500
Andeavor,,(formerly Western Refining),bulk terminal,Tucson,,"4150 E Irvington Rd., 85714",,,,,10286,SW7,-50,,1200
Port of Tucson,,,intermodal yard,,,6964 E. Century Park Dr.       (E of...),(520) 574-1320,,,,28940,GP28,Apr-64,,1800
McElhaney Cattle Co.    ,,,(feed mill),Wellton,," Ave 1 & 34E, 85356     (SP mile post 775)",,,,,30246,SW1200,-65,1987,1200
Nutrient Ag Solutions,,,,Wilcox,,"299 S 1st Ave., 85643",,SPSR 1501,SPSR,1501,31233,SW1200,Feb-66,,1200
Progress Rai Services,,,,Mojave,,(@ Mojave Spaceport)  Kinnicut St,,,,,18870,SW9,Nov-53,2005,1200
"Western Farm Services, Inc.  ""West Isle Line""",,,,Alpaugh,Ca.,"3201 Ave. 54    (P.O. Box 148, 93201)    (operates 6 mile long, former  AT&SF Alpaugh Branch)     ", [(559) 949-8476],,,,21332,GP9,Feb-56,,1750
