,company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive serial number,locomotive model,Manufactured Date(MM/YY),locomotives
148,Pilgrim's Pride,,,feed mill,Pinckard,,"1042 Forest Dr., 36350    (1 Mi. NNW of...)",(334) 984-2213,,S2,,
149,Alabama Power - Plant Miller  (a.k.a James H Miller Generating Plant),(subs. Southern Co.),,coal-fired electric generating,Porter  (West Jefferson),,"      (off CR 45 / Porter Rd., Quinton, 35130)",,20775,GP9,1-56,
155,Argos Cement,,(formerly Lafarge),,Roberta,,,,22737,GP9,8-57,
158,International Paper  -  Riverdale Mill ,,,,,,"601 County Road 78, 36703                         ", [(334) 872-3481],29206,GE 45ton,12-47,
162,Mead Corp,,,,Stevenson,,"115 Kentucky Ave., 35772  ",  [(205) 437-2204],18008,GE 65ton,9-43,
163,Westrock,,(formerly Stone Smurfit),,,,"115 Kentucky Ave., 35772   ", [(205) 437-2204],18008,GE 65ton,9-43,
165,Precision Strip,,,strip metal,Talladega,,"36000 SR 21, 35160",(256) 315-2345,44347,GE 110ton,6-84,
166,TSDI,,,auto intermodal yard,,,,,,SD40-2,2-81,
167,TSDI,,,auto intermodal yard,,,,,,SD40-2,3-81,
169,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,Atlas 20ton,,
170,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,Atlas 20ton,,
171,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],,Atlas 20ton,,
172,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],21854,SW900,8-56,
173,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],37387,SW1001,7-71,
174,ABC Coke / Drummond Co.   ,,,(coke)    ,Tarrant City,,"Alabama & Huntsville  (off SR 79)       (P.O. Box 10246, 35202)      ",[(205) 849-1330],33137,SW1500,8-67,
183,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),32313,SW1000,10-66,
184,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),33915,SW1000,4-68,
185,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),,SW1000 Ex Trico Steel,,
190,Nucor Steel Tuscaloosa,,(formerly Corus Tuscaloosa),,,,"1700 Holt Rd NE, 35404",,,SW1001,,
191,Tube City IMS,,,steel mill services,Tuscaloosa  (Holt),,"2100 Jack Warner Pkwy. NE, 35404  (adjacent to Nucor)    ", (205) 553-4001,37535,SW1000,7-71,
207,SGL Carbon Corp.,,(formerly Great Lakes Carbon),,Altus (Ozark),Ar.,"3931 Carbon Plant Rd., 72949    (~6 m S/E of Ozark)   ", [(479) 468-4401],,Plymouth 18ton JDT,12-56,
209,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],20329,SW1200,3-55,
210,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],21178,SW1200,-56,
211,Nucor - Yamato Steel Co.,,,,Armorel  ,,5929 E. Hwy 18      (10 mi. east of Blytheville)      , [(870) 762-5500],21179,SW1200,-56,
213,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],15636,SW9,1-52,
214,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],,MP15,5-76,
215,"Domtar, Inc.  ",,(formerly Georgia Pacific),(paper mill)     ,Ashdown,,"    (2 mi. S. of..., on US 71)       ", [(501) 898-2711],,SW1500,-72,
216,Pilgrim's Pride  ,, (formerly ConAgra),,Atkins,,,,99107,S2,10-49,
223,"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,00177,Porter 65ton,8-44,
224,"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,16405,GP7,4-52,
231,"Transitech, Inc.",,(formerly Transitank Car Corp.),,Fordyce,,622 W. 6th St.  71742 , [(870) 352-7125],29885,GE 25ton,2-49,
234,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,27510,GE 45ton,6-44,
235,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,,NW2,2-48,
236,Ash Grove Cement          ,,(formerly Arkansas Cement Corp.),,Foreman,,"4457 SR 108 W     (P. O. Box 130, 71836)       ", (870) 542-3038,81427,S6,12-55,
238,Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,35254,GP38,,
239,Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,37550,SD40,3-71,
240,Quincy Soybean Co. of Arkansas / ADM  ,,,,Helena,,"Hanks Lane  SR 20 S., Helena Crossing, 72342      ",  [(501)  338-6481],,Plymouth 60ton CR-4,5-65,
241,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},22485,SW1200,5-57,
242,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},24034,SW1200,1-58,
243,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},21176,SW1200,-56,
244,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},24028,SW1200,12-57,
245,Nucor Steel Arkansas,,,,Hickman,,"7301 East County Road 142           (P.O. Box 30, Armorel, Ar.  72310 )            ",[(870) 762-2100},25731,SW1200,2-60,
247,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,,Plymouth 25ton JDT,11-57,
248,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,29933,GE 45ton,-49,
249,AmeriTies South LLC,,,wood treating,Hope,,"4359 US 278 W, 71801",(870) 722-6222,30749,GE 45ton,9-50,
252,Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,42787,B23-7,-80,
253,Martin Mariette Materials - Jones Mill Quarry,,,,Jones Mills / Magnet Cove,,"4202 US 270, Malvern, Ar. 72104",(501) 620-5493,21320,GP9,2-56,
255,Riceland Foods,,,,Jonesboro,,"216 N Gee St., 72401     ", [(870) 932-7433],29232,GE 25ton,1-48,
258,Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,20550,SW1200,-55,
259,Arkansas Lime Co.    ,,(formerly Batesville White Lime),lime quarry,Limedale  (Batesville),,"600 Limedale Rd.   (4 mi. N/W of Batesville)     (P. O. Box 2356, 72501)       ",(501) 793-2301,22601,GP9,-56,
263,3-M  -  Industrial Mineral Products Div.  - Arch Street Plant,,(formerly Big Rock Stone & Materials),,,,6100 Arch St. (Ar 367),,29787,SW1200,2-65,
266,Southern Company Rail Services /now? Rail Connections,"O'Neil Transportation Services, Inc.",,(railcar repair),,,,,13920,GP7,-51,
273,Green Bay Packaging ,,(formerly Arkansas Kraft Paper),,Perryville,,,,81973,S2,7-56,
276,Pactiv Evergreen,(subs CHH),(formerly Evergreen Packaging),paper mill,Pine Bluff,,"5201 Fairfield Rd., 71601     (e.of ...)          ", [(870) 541-5787],,GP9,5-56,
277,Twin Rivers Paper Co.,,(formerly Mondi Packaging),kraft paper,,,"1701 Jefferson Parkway, 71601", [(501) 541-5000],16184,SW8,2-53,
278,Lone Star Railcar Storage,,,railcar storage,Pine Bluff Arsenal / White Hall,,,,,"GP9 Formerly at Hooks, Tx., ex PT Rail Serv. 91",,
280,TexAmericas Center,,(formerly Lone Star Railcar Storage),railcar storage,,,,,,GP9 Ex Lone Star Railcar Storage #1703,,
286,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],14326,SW9,4-51,
287,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],33283,SW1500,10-67,
288,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],33130,SW1500,-67,
289,Granite Mountain Quarries,,,,Sweet Home,,"1010 Shamburger Lane, 72206   ",   [(501) 490-1535],20801,GP9,1-56,
290,Union Tank Car,,(formerly GE Capital Railcar Service Corp. ),railcar repair,Texarkana,,"2006 N. Oats St., 75502      (N. Oats & Nash-Thompson Ln.)", [(501) 773-5641],20161,GP9,2-55,
293,Tyson Foods,,,,Waldron ,,"Fir St., 72958     ",   [(501) 637-2121],32701,GE 45ton,9-56,
296,Liberty Iron & Metal Southwest,,,,Phoenix,AZ,"2144 W. McDowell Rd., 85009",(602) 254-2154,,"GE 25ton Formerly at Erie, Pa., ex Erie Forge",,
299,Rose Acre Farms,,,feed mill,Bouse,Az.,"48993 SR 72, 85325",(928) 851-4225,75629,MP15,-76,
300,"Arizona Grain, Inc.   ", (subs. Kort Investments),,,Casa Grande,,"601 E. Main, 85222     ", [(602) 836-8228],28470,GE65ton,4-46,
301,Salt River Materials Group / Phoenix Cement Co.       ,,(formerly American Cement),(cement plant)   ,Clarkdale,,"601 Cement Plant Rd., 86324       ", [(602) 634-2261],32210,GE 35ton,7-54,
304,InterRail Transport,,,(auto intermodal),El Mirage,,,,12101,GP7,11-50,
305,InterRail Transport,,,(auto intermodal),El Mirage,,,,22328,GP9,1-57,
306,InterRail Transport,,,(auto intermodal),El Mirage,,,,18556,GP7,-53,
307,Nestle Purina Mills,,(formerly Ralston Purina),(food processing),Flagstaff,,4700 E. Nestle Purina Ave.  86004       ,  (928) 526-3645,,Plymouth 35ton MDT,8-74,
309,ASARCO ,,,copper mine & smelter,Hayden,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],33105,GE 35ton,9-57,
310,ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],31336,GE 80ton,4-52,
311,ASARCO - smelter,,,  (copper smelter)   ,,,"     (P. O. Box 8, 85235)     ", [(602) 363-5531],36323,GE 100ton,9-67,
312,Arizona Public Service  –  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,,MP15,6-77,
313,Arizona Public Service  –  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,17805,SW9m,4-53,
314,Arizona Public Service  –  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,37891,GP38,12-71,
315,Cyprus Amax Minerals Co.    ,,(formerly Inspiration Consolidated Copper Co.),(copper mine & smelter)    ,Miami,,,,,NW2,-46,
316,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],32290,GP38,10-66,
317,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],32291,GP38,10-66,
318,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],33072,GP38,4-67,
319,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],33073,GP38,4-67,
320,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],33074,GP38,4-67,
321,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],33075,GP38,4-67,
322,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],37375,GP38,4-71,
323,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,GP38-2,3-76,
324,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,GP38-2,3-76,
325,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,GP38-2,3-76,
326,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,GP38-2,3-82,
327,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],32886,GP38,2-67,
328,Freeport-McMoran Copper & Gold,,(formerly Phelps Dodge),(copper mine),Morenci,,"4521 US Hwy. 191, 85540     ", [(520) 865-4521],,"""GP39-3""",8-81,
331,"Freeport-McMoRan, Inc. - Sierrita Operations",,(formerly Cyprus Sierrita Corp.),,Sahuarita (Green Valley),,"6200 W. Duval Mine Rd., 85622      ", [(520) 648-8500],,GP50,9-80,
332,Andeavor,,(formerly Western Refining),bulk terminal,Tucson,,"4150 E Irvington Rd., 85714",,10286,SW7,-50,
335,Port of Tucson,,,intermodal yard,,,6964 E. Century Park Dr.       (E of...),(520) 574-1320,28940,GP28,4-64,
338,McElhaney Cattle Co.    ,,,(feed mill),Wellton,," Ave 1 & 34E, 85356     (SP mile post 775)",,30246,SW1200,-65,
339,Nutrient Ag Solutions,,,,Wilcox,,"299 S 1st Ave., 85643",,31233,SW1200,2-66,
346,Progress Rai Services,,,,Mojave,,(@ Mojave Spaceport)  Kinnicut St,,18870,SW9,11-53,
348,"Western Farm Services, Inc.  ""West Isle Line""",,,,Alpaugh,Ca.,"3201 Ave. 54    (P.O. Box 148, 93201)    (operates 6 mile long, former  AT&SF Alpaugh Branch)     ", [(559) 949-8476],21332,GP9,2-56,
349,Marathon Martinez,,(formerly Tesoro),,Avon / Martinez,,,,36987,GP38-2,3-71,
350,Marathon Martinez,,(formerly Tesoro),,Avon / Martinez,,,,29223,GE 25ton,11-47,
356,United States Borax,(subs Rio Tinto),,,Boron,,,,71705,GP39-2,10-80,
358,Holly Sugar Corp.,(subs. Southern Mn. Beet Sugar Co-Op),,,Brawley,,"395 Keystone Rd., 92227    ",  [(760) 344-3110],28450,GE 25ton,5-46,
359,Miller Milling Co.,(subs Nisshin Milling),,,Calwa  (Fresno),,2908 S. Maple Ave.      ,[(209) 441-8133],16623,SW8,11-52,
360,Marathon Petroleum – Carson Refinery,,(formerly Tesoro),oil refinery,Carson,,"1801 East Sepulveda Boulevard, 90745             ",,16339,SW9,12-52,
361,Marathon Petroleum – Carson Refinery,,(formerly Tesoro),oil refinery,Carson,,"1801 East Sepulveda Boulevard, 90745             ",,25007,SW1200,2-59,
363,Polyone Corp. ,,(formerly Geon Co.),,,,"2104 E 223rd St, Carson, 90810          ",  [310) 513-7186],19391,SW8,12-53,
366,Foster Farms,,,,Delhi,,"         (P. O. Box 457, Livingston, Ca. 95334)",,81733,S6,-56,
369,"Chevron USA, Inc.",,,,El Segundo,,"324 West El Segundo Blvd., 90245                     ",   [(310) 615-5000],34429,SW1500,-69,
374,California Steel Industries   ,(j/v Nucor and JFE ),(formerly Kaiser Steel),(rolling mills),,,14000 San Bernardino Ave.,,31745,SW1500,7-66,
375,California Steel Industries   ,(j/v Nucor and JFE ),(formerly Kaiser Steel),(rolling mills),,,14000 San Bernardino Ave.,,33290,SW1500 [,10-67,
376,California Steel Industries   ,(j/v Nucor and JFE ),(formerly Kaiser Steel),(rolling mills),,,14000 San Bernardino Ave.,,38229,SW1500,10-71,
377,California Steel Industries   ,(j/v Nucor and JFE ),(formerly Kaiser Steel),(rolling mills),,,14000 San Bernardino Ave.,,71505,SW1500,1-73,
378,California Steel Industries   ,(j/v Nucor and JFE ),(formerly Kaiser Steel),(rolling mills),,,14000 San Bernardino Ave.,,33795,SW1500,3-68,
379,Inland Empire Commerce Center / Kaiser Ventures               ,,(formerly Kaiser Steel),(industrial park),,,,,,NW2u,12-47,
381,Western Milling,,,,Goshen,,31120 Nutmeg Rd.        , [(559) 651-1106],13208,GP7,-51,
382,Penny-Newman Grain Co.,,,,Guernsey,,"          (~6 mi. S. of Hanford, near S 10th & Kansas Aves.)",,26045,GP20,7-60,
383,Simplot Agribusiness         ,,,,Hamilton City,,"555 First, 95951    (First & Walsh)   (at Holly Sugar warehouse)",[(530) 826-3529],81424,S6,1-55,
387,Nu-west Milling LLC / Sierra Grain Terminal / Associated Feed & Supply,,,,Hughson,,4636 Geer Rd & Santa Fe Way   (s. of...),,23171,SD9,-57,
