company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive number,locomotive model,Manufactured Date(MM/YY),locomotives
West Central Ag Services,,,grain elevator,,,"438 CR 11002, 64720",   (816) 297-2118,;,car mover;,;,      car mover
Home Depot,,,distribution warehouse,Conroe,,400 N Porter Rd.,   (936) 282-6100,;,SW9/1200;,;,      :  SW9/1200
Occidental Chemical Corp.      ,, (formerly Diamond Shamrock Chemicals),,Muscle Shoals,,"1000 Wilson Dam Rd., 35661   ",   [(205) 389-2200],;,car mover;,;,       car mover
Viterra,,(formerly Gavilon),grain elevator,,,"54300 Walnut Road, 46552   ",   [(219) 654-3116],;,GE 80ton;,10/52; ,"                  :  GE 80ton  (III-B1)  (31372, 10-52)  Ex Gavilon  (same), ex CSS&SB #MOW 1, ex US - DLA #52014, nee USA #1665."
ADM / Countrymark,,(formerly Indiana Farm Bureau),,Clymers,,"2626 South County Road 275 West, 46947                            ",   [(219) 753-0561],;,SW9/1200;,;,    :  SW9/1200
AMG Resources,,(formerly Vulcan Materials),,Gary,,"459 Cline Ave., 46406    ",   [(219) 949-8150],;,GE 85ton;,6/81;,"      :  GE 85ton (V)  (41185, 6-81)  Nee GATX #46576  (Petroleum, Oh.)  Acq. 2010."
Aggregate Ind.      ,," (formerly Millville Quarry, Inc.)",,Bladensburg,,"2800 52nd Ave., Hyattsville, 20780   ",   [(301) 454-8156],;,SD40?;,;,             :  SD40 ?
Holcim       ,(subs. St. Lawrence Cement / Holcim ,(formerly St Lawrence Cement),cement plant,Security  (Hagerstown),,"1260 Security Rd.       (P.O. Box 650, 21740)               ",   [(301) 739-1150],;,car mover;,;,      car mover
Detroit Salt Co.,,,,Detroit,,"12841 Sanders St., 48217                              ",   [(313) 841-5144],;,car mover;,;,      car mover
Missouri Farmers Assoc.,,,,Mexico,,400 E Holt St.   ,   [(314) 581-4195],;,car mover;,;,    car mover
Eli Lilly Pharmaceutical Co.,,,,,,"1650 Lilly Rd.,  47905 ",   [(317) 477-4300],;,NW2;,/49;,"    :  NW2  (7792, E-1098-7,    -49)  Ex BN #494, nee GN #157."
International Paper,,(formerly Macmillan Bloedel), (containerboard)               ,Pine Hill     (Kimbrough),,"7600 SR 10, 36769    (5 mi. e.of..., on SR 10)  Hwy 10 E, 36769   ",   [(334) 963--2248],;,;,;,
"Sunrise Cooperative, Inc. ",,(formerly Huron-Landmark Grain),,West Clarksfield,,"1981 Fitchville River Road, (Wakeman),  44889                            ",   [(419) 929-1568],;,GE 65ton (II-A);,10/41;,"       :  GE 65ton  (II-A)  (13195, 10-41)  Ex Union Carbide #9  (Welland, On.), exx  Electro Metallurgical Div. #9  (same), exxx USA #V-1404."
Frutchey Bean Co.     ,(owned by Auburn Bean & Grain),,(grain elevator),Oakley,,"310 W. 3rd St., 48649           ",   [(517) 661-2400],;,;,;,
Cemex ,,(formerly Sunbelt  –  ash plant),,Houston,,"5303 Navigation Boulevard, Houston, TX 77011                     ",   [(713) 767-7700],;,SW9;,10/52;,"             :  SW9  (16334, 6368-5, 10-52)  Ex Sunbelt Cement  (same), exx Parker Lafarge  (same),  exxx Parker Bros. #0107  (same), exxxx TO&E #D-17, exxxxx P&LE #1239, nee P&LE #8956."
Con Agra    ,,(formerly International Multifoods),(flour mill)      ,Buffalo,N. Y. ,"120 Childs, 14203      ",   [(716) 849-1616],;,;,;,
"Prairie Creek Grain Co., Inc.",,,grain transload,,,"320 Railroad, 60435   ",   [(779) 379-5771],;,car mover;,;,      car mover
"Solutia, Inc.    ",,(formerly Monsanto Chemical Co.),,Greenwood,,"      N/E of..., along SR 246)     (P.O. Box 1057, 29648)   ",   [(803) 223-4241],;,Plymouth 12ton DDT; ,3/65;,"         :  Plymouth 12ton DDT  (6451, 3-65)  Ex Monsanto Chemical Co.  (same), nee Chemstrand Corp.  (same)."
Dixie Clay Co.  ,(subs. R. T. Vanderbilt Co.)     ,(formerly North American Clay),,Bath,,"Dixie Clay Road, 29816   ",   [(803) 593-2592],;,"Plymouth 4ton TDT (36""ga);",8/67;,"        :  Plymouth 4ton TDT (36"" ga.)  (6591, 8-67)  Acq. new."
Intercontinental Engineering & Manufacturing,,,,Riverside,,"Hwy 9, 64151                ",   [(816) 741-0700],;,Whitcomb 80ton;,11/45;,"        :  Whitcomb 80ton  (60681, 11-45)  Ex Western Construction Corp.  (Jersey City, N.J.), exx USN #65-0006  (Hunters Point NSY, S.F., Ca.)"
CRG    ,,(formerly Spartan Iron & Metal Corp.),(scrap yard)     ,Greenville,,801 Poinsett Hwy.    ,   [(864) 232-7356],;,Plymouth 35ton MDT; ,12/52;,"       :  Plymouth 35ton MDT  (5652, 12-52)  Ex Spartan Iron & Metal Corp.  (same), exx Winnsboro Granite Corp.  (Andersons Quarry, S.C.), nee Duval Sulphur & Potash #4  (Orchard, Tx.)"
SA Recycling,,(formerly Kimmerling & Sons),scrap yard,,,"2020 Vanderbilt Rd., 35234",  (205) 841-6706,;,car mover;,;,      car mover
Lubrizol Corp.,,,,Painesville,,"  (office: 29400 Lakeland Blvd., Wickliffe, 44092           ) [plant: 155 Freedom Rd. ?]",  (216) 943-4200,;,GE 110ton (IV-B1);,06/66;,"      :  GE 110ton  (IV-B1)  (35814, 6-66)  Ex  J&L Steel #32  (Aliquippa, Pa.)"
ADM Grain,,(formerly Comtinental Grain - Allied Mills Div.),,Taylorsville,,"1463 SR 48 N, 62568              ",  (217) 824-5579,;,car mover;,;,    car mover
Cenex Harvest States,,,,Callaway,,"106 County Hwy 83, 56521",  (218) 375-2551,;,car mover;,;,      car mover
Sims Metal,,,scrap yard,,,425 W 152nd St,  (219) 378-7426,;,car mover;,;,      car mover
Progrees Rail Service,,,locomotive shop,Mayfield,,"425 Ingersoll Rand Rd, 42066",  (270)  247-3596,;,car mover;,;,      car mover
Koppers Corp.    ,,(formerly Bond Bros.),,Guthrie,,"Merriweather Road , 42234           ",  (270) 483-2541,;,Plymouth 35ton MDT;,10/53;,"       :  Plymouth 35ton MDT  (5726, 10-53)  Nee Consolidated Cement Corp.  (Fredonia, Ks.)"
"Niles Iron & Metal Co., Inc.",,,scrap yard,Niles,,"700 S Main St, 4446",  (330) 652-2262,;,SW900;,?/55;,"                   :  SW900  (20389, 4301-6,   -55)  Ex Liberty Iron & Metal  (Sharon, Pa.), exx Mercer Co.  (same), exxx  Cargill  (Albany, N.Y.), exxxx B&O #9405, nee B&O #630.  Acq. c. 2021."
Arrowhead Landfill,,,landfill,Uniontown,,"622 Tayloe Rd., 36786",  (334) 628-4844,;,car mover;,;,      car mover
Seadrift Coke LP,,,,Seadrift,,"8618 ST 185, 77979",  (361) 552-8887,;,SW?;,;,         :  SW?
"CPI / Cooperative Producers, Inc.",,,grain,Hayland,,"7940 N Hayland Ave. (Prosser, 68883)",  (402) 744-2361,;,GP7/9;,;,      :  GP7/9  
Clorox Co.,,,,Aberden,Md.,"1319 Perryman Rd., 21001",  (410) 273-5100,;,car mover;,;,      car mover
Kuhlman Corp.  – Yard 1,,,  (bulk terminal),,,444 Kuhlman Dr. ,  (419) 321-1670,;,Republic RL;,;,     :  Republic RL
POET Biorefining,,,biofules refinery,,,"2111 Sandusky St., 44830",  (419) 436-0954,;,car mover;,;,      car mover
"Precision Strip, Inc.",,,metal processing,,,"190 Bales Rd., 43326",  (419) 674-4186,;,GE 45ton DC;,;,           :  GE 45ton DC
"Precision Strip, Inc.",,,metal processing,,,4400 Oxford State Rd,  (513) 423-4166,;,GE [80 or 110 ton IV ?];,;,           :  GE [80 or 110 ton  IV ?]
Drumm Inc.,(subs. International Service Co.),(formerly Harlan-Drumm Entreprises),tank car cleaning,,,"5366 Este Ave., 45232",  (513) 641-4141,;,GE 45ton;,;,               :  GE 45ton
Reid Machinery,,,,,,"3030 S Martin Luther King Blvd., 48910",  (517) 887-8300,;,GE 25ton (II-A),;,       :  GE 25ton (II-A)    Ex AJ's Railroad Contractors.
Poet Bioprocessing,,,ethanol,Leipsic,,"3875 St (SR 65), 45856",  (567) 332-2400,;,car mover;,;,      car mover
Moran Logistics,,,warehouse,Watsontown,,"118 E 8th St, 17777",  (570) 538-5558,;,GE 65ton; ,9/56; ,"      :  GE 65ton  (32663, 9-56)  Ex North Sunbury Bulk Transfer, ex American Railcar Ind.  (Milton, Pa.), ex Shippers Car Line Div., ACF Ind  (same), Previously at North Kansas City, Mo., nee Anaconda Co. #2  (Anaconda, MT.)"
Buckman Laboratories International Inc.,,,,Cadet,,"14664 SR 47, 63630",  (573) 438-3722,;,car mover;,;,      car mover
CIG Logistics,,,(frac sand),Jal,,"3566 SR 18, 88252",  (575) 200-8893,;,GP38-2;,;,             :  GP38-2
ADM Milling,,,,Enid,,1301 N 14th St. 73701,  (580) 237-8000,;,car mover;,;,      car mover
"U.S. Metal Powders, Inc. / AMPAL, Inc.",,,,Little Gap,,"2115 Little Gap Rd., 18071",  (610) 826-7020,;,carmover,;,      car mover
Owens Corning,,,roofing,,,"1701 49th Ave. N, 55430",  (612) 522-3395,;,car mover;,;,      car mover
Lone Star Ind.           ,,,(cement terminal),,,"1702 2nd Ave. N, 37208",  (615) 254-3939,;,GE 2Tton (II-B); ,10/46; ,"    :  GE 25ton (II-B)  (28531, 10-46)  Formerly at Baton Rouge, La., previously at Lafayette, La., nee #2 at Houston, Tx."
Gateway Co-Packing,,,,,,"901 Kingshighway, 62203            ",  (618) 274-3150,;,car mover;,;,     car mover
Cargill Meat Solutions,,,,,,"3201 US 400, 67801  (2 mi. SE of...)",  (620) 225-2610,;,car mover;,;,      car mover
Alter Metal Recycling,,(formerly Behr Iron & Metal),,Emory  (Mason City),,12050 W. State St.,  (641) 424-9521,;,GE 65ton;,12/42;,"         :  GE 65ton  (15736, 12-42)  Ex Behr Iron & Metal  (same), ex Birmingham Steel #2  (Bourbonais, Il.), nee USS - American Bridge Div. #19  (Ambridge, Pa.)"
B Three Altus,,,cement terminal,St Paul,,"2145 Childs Rd., 55106",  (651) 771-5030,;,car mover;,;,      car mover
Dakota Midland Grain LLC,,,,Norwich,,"5758 Norwich Rd., 58768",  (701) 728-6786,;,car mover;,;,      carmover
United Quality Cooperative Grain,,(formerly Dakota Quality Cooperative Grain),,Parshall,,"14 Railroad Ave. S, 58770",  (701) 862-3404,;,[SD40-2?];,;,       :  [SD40-2?]    [Ex NS ?]
Amstrong World Ind.,,(formerly Armstrong Cork Co.),,Marietta,,"1507 River Rd, 17547",  (717) 426-4171,;,Plymouth 18ton HL; ,4/25;,"  :  Plymouth  18ton HL  (1925, 4-25)  Formerly at Millville, N.J.), nee Whitehall Tatum Co.  (same)."
Kovalchick Salvage,,,equipment / supply salvage,Homer City,,320 Lucerne Rd.,  (724) 479-3160,;,GE 45ton; ,;,     :  GE 45ton          Acq. 2022.
Skyway Cement Co.,,,cement transload,,,"3020 E 103rd St., 60617",  (773) 768-1717,;,car mover;,;,      car mover
EP Minerals - Colado Plant,,,diatomaceous Earth & Perlite mine,Lovelock,,150 Coal Canyon Rd.,  (775) 824-7600,;,car mover;,;,      car mover
McWane Ductile / ,,(formely Pacific States Cast Iron Pipe Co.),,Provo,,"1401 E. 2000 S., 84601           ",  (801) 373-6910,;,Republic RX 500;,;,             :  Republic RX500      Acq. 2007.
Warrick Power Plant,(j/v Alcoa and Vectren),(foormerly Southern Indiana Gas & Electric Co.),,Yankeetown,,"4700 Darlington Rd., 47630",  (812) 842-3350,;,SW9/1200;,;,                :  SW9/1200
Gold Bond Building Products - Apollo Beach Plant,,,,Gibsontown,,"12949 US 41S, 33534  (actually off Pembroke Rd.)",  (813) 672-8269,;,car mover;,;,      car mover
Curry Rail Services,,  (formerly Watco Rail Service),,,,585 Berwind Rd.,  (814) 793-7245,;,GE 45ton; ,2/42; ,"    :  GE 45ton  (15154, 2-42)  Ex American Car & Foundry #7  (Milton, Pa.)  Acq. 2020."
"Heritage Farm Service, Inc.",,,,,,"1643 N US 45, 60938",  (815) 707-7020,;,car mover;,;,       car mover
Bayer CropScience LP,,,chemicals,Kansas City,,"8400 Hawthorne Rd., 64120",  (816) 242-2000,;,car mover;,;,      car mover
East Coast Railroad Services,,,,New Windsor,,"42 Argenio Dr., 12553",  (845) 565-7210,;,GE 44ton (modified w/ low-clearance cab);,02/53;,"      :  GE 44ton (modified w/ low-clearence cab)  (31876, 2-53)  Ex Metro Transit Commission #L002  (Washington, D.C.), nee USAF #1238."
Arcelor Mittal,,(formerly Bayou Steel Corp. – Tennessee),,Rockwood  (Harriman),,"2404 S Roane St, 37748              ",  (865) 882-5100,;,SW?;,;,               :  SW?
Plum Point Energy Station,,,coal-fired electric generating ,,,"2732 S CR 623, 72370",  (870) 563-4018,;,car mover;,;,      car mover
Reckitt Benkiser / RB,,,,Hillsborough / Belle Mead,,"799 US 206, Hillsborough Township  08844",  (908) 533-2000,;,;,;,
Nestle Purina Mills,,(formerly Ralston Purina),(food processing),Flagstaff,,4700 E. Nestle Purina Ave.  86004       ,  (928) 526-3645,;,Plymouth 35ton;,8/74;,"        :  Plymouth 35ton  MDT  (7047, 8-74)  Nee Ralston Purina  (same)."
Huntsman Corp.,,,,Youens  (Conroe),,"Jefferson Chemical Rd., 77301  ",  (936)  0756-3381,;,car mover;,;,    car mover
Dow Chemical,,(formerly Dow Corning),silicon sealants,Elizabethtown,Ky..,"707 Hodgenville Rd, 42701",  (989) 636-1000,;,car mover;,;,      car mover
Mead Corp,,,,Stevenson,,"115 Kentucky Ave., 35772  ",  [(205) 437-2204],;,GE 65 ton;,9/43;,"       :  GE 65ton  (18008, 9-43)  Ex Vulcan Materials  (Elizabethport, N. J.), exx D.C. Dept. of Corrections ""Lorton & Occoquan,"" exxx USN #65-00240."
Southern Electric Generating Co.  -  E. C. Gaston Steam Plt.  ,(j/v Alabama Power & Georgia Power),,,Yellowleaf   (Wilsonville),,"    (P.O. Drawer B, 35186)          ",  [(205) 669-4633],;,car mover;,;,      car mover
"Coastal Transportation, Inc.",,,,,,"4025 13th Ave. W, 98119           ",  [(206) 282-9979],;,Plymouth ML8;,7/43;,"      :  Plymouth ML8  (4506, 7-43)  Ex US - Dept. of Energy  (Kirkland AFB, Albuquerque, N. M.), exx US - Atomic Energy Comm. #44?-65  (same), nee USA #7625.  Acq. 1991."
General Aluminum & Chemical ,,"(formerly Delta Chemicals, Inc.)",,Kidders  (Searsport),,"Kidders Point Rd.    (P. O. Box 414, Searsport, 04974)    ",  [(207) 548-2525],;,GE (centercab);,;,        :  GE  (centercab)
Cargill Animal Nutrition,,(formerly Cargill - Nutrena Feeds),,,,"4344 S. El Dorado St., 95206              ",  [(209) 982-4632],;,car mover;,;,     car mover
Trinity River Authority ? Central Regional Wastewater System,,,,,,"   (P. O. Box 531196, Grand Prairie, Tx., 75053)    ",  [(214) 263-2251],;,GE 45ton DC;,10/44;,"    :  GE 45ton DC  (27700, 10-44)  Ex Dierks Forest Ind. #D-11  (Ar.), nee USA #8562.  Acq. 1978."
Occidental Chemicals,,,,,,1100 Lenway St.       ,  [(214) 421-8411],;,car mover;,;,    car mover
Atlas - Lederer Co.   ,,,(scrap yard),Cleveland,,"9515 Woodland Ave.    (P. O. Box 20190, 44120)       ",  [(216) 231-2430],;,NW2;,;,"        :  NW2                            Ex CR #9190, exx PC #9107."
BWX Technologies Inernational                ,,(formerly Babcock & Wilcox),,Barberton,,4th & Sterling    ,  [(216)753-4511],;,GE 65ton (II);,04/43;,"                   :  GE 65ton (II)  (17861, 4-43)  Ex Babcock & Wilcox  (same), nee USA #7178  (Camp Holabird, Md.)."
ADM ,,,,Tuscola,,"920 E  Rt 36, 61953     ",  [(217) 253-3389],;,SW8;,/52;,"      :  SW8  (16617, 4157-9,     -52)  Ex Cargill (same), nee RI #822.  [still here ??]"
Ash Grove Cement - Duluth Terminal,,"(formerly St. Lawrence Cement Co. / Holcim, Inc.)",(cement terminal)         ,Duluth,,"1100 Port Terminal Dr., 55802    ",  [(218) 726-0165],;,GE 45ton (II);,03/57;,"      :  GE 45ton (II)  (32858, 3-57)  Ex St Lawrence Cement  (same), ex Holnam  (same), formerly at Dunkirk, N.Y., nee Universal Atlas Cement #6-11  (Hudson, N.Y.)."
AmSty / American Stryrenics,(j/v Trinseo & Chevron Phillips),(formerly Chevron Chemical Co.),chemical,Donaldsonville  (Saint James),,"9901 SR 18, (Saint James), 70086                           ",  [(225) 746-5500 ],;,car mover;,;,      car mover
Omya Alabama,,(formerly Alabama Carbonate),,,,"2071 Sylacauga-Fayetteville Rd.    (P.O. Box 47, 35150)             ",  [(256) 245-1777 ],;,car mover;,;,    car mover
"Cemex, Inc. ",,"(formerly Southdown, Inc.)",,Lyons,,"5134 Ute Hwy.  (P.O. Box 529, 80540)    ",  [(303) 823-2100],;,GE 45ton;,3/48;,"       :  GE 45ton (II-B)  (29346, 3-48)  Ex Southdown, Inc.  (same), exx Southwestern Portland Cement Co.  (same), exxx Martin Marietta Cement  (same), exxxx American Mariettta Corp  (same), exxxxx Rocky Mountain Cement  (same), exxxxxx Dewey Portland Cement  (Tulsa, Ok.), nee Dewey Portland Cement  (Buffalo, Ia.)"
FMC - Kemmerer Coke - Phosphorous Chemicals Div.,,,,,,"    (S of...)          (P.O. Box 431, 83101)    ",  [(307) 877-4475],;,car mover;,;,    car mover
Behr (Joseph) & Sons,(became subs. Alter Trading 2016),,,,,"2835W Clark St., 61602        ",  [(309) 637-4491],;,car mover;,;,      car mover
"Cargill, Inc.",,,,,,"115 S. Euclide St.       (P.O. Box 1286, 61702)                  ",  [(309) 827-7100],;,car mover;,;,        car mover
ADM Milling      ,,(formerly Dixie Portland Flour Mills),,Chicago,,1300 W. Carroll Ave.      (W. Carroll Ave. & Ogden Ave.),  [(312) 666-2465]   ,;,GE 35ton;,11/52;,"       :  GE 35ton  (31767, 11-52)  Ex Dixie Portland Flour Mills  (same), exx Illinois Slag & Ballast #4  (Chicago, Il.)"
Holcim Inc. ,,(formerly Holnam Inc.),(cement)    ,Clarksville,,"N. Hwy. 79  (P.O Box 67, 63336)  ",  [(314) 242-3571],;,SW? (r/p);,;,"        :  SW? (r/p)                Ex Holnam, Inc.  (same)."
Windriver Grain LLC,,,,Garden City,,"2750 E S 50      (P.O. Box 483, 67846)  ",  [(316) 275-2101],;,SD40-2;,;,"            :  SD40-2                Nee CP.
  2264  :  SD60
      car mover"
Arconic  ,,(formerly Alcoa),,Lafayette,,"3131 Main St.,  47905     ",  [(317) 448-3600],;,car mover;,;,    car mover
Arizona Chemical   ,(subs. International Paper)       ,"(formerly Reichold Chemical, previously Heyden-Newport Chemical Co.)",,Oakdale,,"164 Arizona Chemical Rd., 71463  (off Hwy 122)    ",  [(318) 335-2140],;,car mover;,;,        car mover
"West Fraser Timber Co., Ltd.",,(formerly Plum Creek),,Joyce,,"6481 Hwy 34N  (P.O. Drawer 1, 71440)      ",  [(318) 628-3953],;,GE 25ton (II);,03/55;,"        :  GE 25ton (II)  (32321, 3-55)  Ex Riverwood International  (same), exx Crown Zellerbach  (same), exxx Tremont Lumber (same), nee Lone Star Cement  (Dallas, Tx.)"
CHS Cooperatives  -  West Elevator  ,,(formerly Cenex Harvest States Cooperatives),,Buffalo ,,"Hwy 22 W     (~2 M E of Buffalo)  (P.O. Box 4549, 52808)     ",  [(319)326-3585],;,car mover;,;,      car mover
Cargill Inc.,,,,Litchfield,,"106 E. Depot St., 55355      ",  [(320) 693-6040],;,;,;,
Andersons Plant nutrients,,,,Lordstown,,161 Muth Rd.,  [(330) 824-9522 ],;,Plymouth MDT;,11/52;,"    :  Plymouth MDT  (5646, 11-52)  Nee Celotex Corp.  (Port Clinton, Oh.)"
Interstate Grain Corp.  -  Port Terminal,,(formerly Producers Grain),,,,5700 Up River Road              ,  [(361) 289-5651],;,SW1; ,2/42;,"        :  SW1  (1678, 2-42)  Ex RI #529."
International Paper,,,containerboard,Valliant,,"890 IP Lane  Hwy 70 W    (P. O. Box 890, 74764)      ",  [(405) 933-7211],;,car mover;,;,            car mover
Cargill  Inc.  -  Nutrena Feeds,,,,Poinciana  (Intercession City),,"1845 Ave. A, 34758    ",  [(407) 846-4169],;,car mover;,;,    car mover
 Tube City / IMS,,(formerly Luntz Corp / Philip Services Corp.),,,,"1344 Bowman St.         (PO Box 31, 44901)                    ",  [(419) 747-5500],;,car mover;,;,   car mover
Battle Lumber Co.,,,,Wadley,,"11261 Hwy 1 South, 30477             ",  [(478) 252-5210],;,Plymouth DDT;,;,               :  Plymouth DDT
Quincy Soybean Co. of Arkansas / ADM  ,,,,Helena,,"Hanks Lane  SR 20 S., Helena Crossing, 72342      ",  [(501)  338-6481],;,Plymouth 60ton;,05/65;,"        :  Plymouth  60ton CR-4  (6445, 5-65)  Ex Allied Chemicals  (Helena, Ar.), exx Gardinier-Big River Inc.  (East Tampa, Fl.), nee US Phosphoric Prods.  (same)."
CPS Chemical Co. Inc. / Ciba Chemicals,,,,West Memphis,,Bridgeport Rd.       (Bridgport Industrial Park)      ,  [(501) 735-8750],;,car mover; ,;,    car mover
SGL Carbon Corp.,(j/v Sigri & Horsehead Resources)  ,(formerly Great Lakes Carbon),,Hickman,,"Myron Cory Rd., 42050      (S of?)",  [(502) 236-2512]  ,;,GE 25ton;,9/49;,"    :  GE 25ton  (30425, 9-49)  Ex Great Lakes Carbon  (Berthierville, Que.), nee Singer Manufacturing #1  (St. Johns, Que.)  Trans. 1992"
Arkema,,"(formerly Elf Atochem North America, Inc.)",,Calvert City,,"4444 Industrial Parkway          (P. O. Box 187, 42029)      ",  [(502) 395-7121],;,SW1m;,6/46;,"   :  SW1m (1000 hp)  (3295, E-668-7, 6-46)  Ex Elf Atochem  (same), exx IC #13, exxx IC #612, nee IC #9027.  Acq. 1992. [gone ]"
"Holcim, Inc. ",,(formerly Holnam Inc.),,New Orleans,,"5301 France Road,  70126     ",  [(504) 282-6426],;,GE 25ton;,05/51;,"                   :  GE 25ton  (30977, 5-51)  Ex Holnam  (same), exx Ideal Basic (same), formerly at Ideal Basic (Superior, Ne.) ""Nebraska-Kansas RR"" #2, originally at Ideal Basic  (Ada, Ok.)  Transferred 1972."
"Cargill, Inc.",,,,Port Allen ,,"520 Elevator Rd., 70767     (Port of Baton Rouge)  ",  [(504) 383-5221],;,;,;,
Arcelor Mittal,,(fomerly Bayou Steel),structural steel,LaPlace,,"River Road  (PO Box 5000,  70068)  ",  [(504) 466-5300],;,;,;,
Mennel Milling            (formerly Continental Grain),,,,Eldean  (Troy),,"2600 N. Dixie Hwy., Troy , 45373",  [(513) 339-2667],;,car mover;,;,    car mover
Continental Cement Co.   ,(subs Summit Materials),(formerly Lafarge Corp.),(cement terminal)      ,West Des Moines,,1200 Railroad Ave.      ,  [(515) 225-7171],;,GE 45ton;,4/75;,"        :  GE 45ton (IV)  (39023, 4-75)  Ex Lafarge  (same), formerly at Buffalo, Ia., nee Martin Marietta Cement  (same)."
"Cargill, Inc.",,,,Sikeston,,"410 W. Malone, 63801                 ",  [(573) 472-2272 ],;,GE 80ton (II-A2);,05/43;,"           :  GE 80ton (II-A2)  (17899, 5-43)  Formerly at Tuscola, Il., previously at Savage, Mn., ex Montan Western #300, exx USA #7854  (Milan Ordnance Depot, Milan, Tn.)"
Mar-Jac,,(formerly Marshall Durbin Co.),(feed mill),Waynesboro,,"             (P.O. Box 888, 39367)    ",  [(601) 735-3131],;,car mover;,;,    car mover
